"Marca temporal","Edad","Género","Nivel de estudios alcanzado","Situación respecto a su club  ","Frecuencia con la que sigue a su club  ","Años siguiendo a su club  ","Motivos que le llevaron a seguir a su club  ","Me siento emocionalmente unido/a a mi club de fútbol  ","Seguir a mi club forma parte importante de mi identidad personal ","Me siento orgulloso/a de pertenecer a la afición de mi club ","Mi vínculo con el club es fuerte a nivel emocional ","Siento que los valores del club representan mi forma de entender el fútbol ","Ser aficionado/a de este club es algo estable en mi vida ","Mi relación con el club va más allá de los resultados deportivos ","Estoy satisfecho/a con el rendimiento deportivo reciente de mi club ","Considero que el club tiene un proyecto deportivo bien definido ","Confío en las decisiones deportivas que toma la directiva del club ","La planificación deportiva del club es adecuada ","La gestión deportiva del club es coherente con sus objetivos ","Los fichajes realizados en las últimas temporadas han sido acertados ","La dirección deportiva transmite estabilidad al club ","Estoy satisfecho/a con la forma en que el club gestiona el ámbito deportivo ","Tengo intención de seguir apoyando a mi club durante los próximos años ","Seguiré siendo aficionado/a de este club independientemente de los resultados ","Continuaré siguiendo los partidos de mi club con regularidad ","Me considero un/a aficionado/a fiel a mi club ","Recomendaría mi club a otras personas interesadas en el fútbol ","Indica cualquier observación que desee realizar"
"2026/03/08 3:46:25 p. m. CET","45","Mujer","Educación secundaria","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","3","3","2","2","1","2","2","3","3","3","3","2","1","1","1","5","4","5","5","5",""
"2026/03/08 4:33:08 p. m. CET","23","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","3","2","2","2","5","2","5","1","1","3","1","1","1","1","3","5","5","5","5","5",""
"2026/03/08 5:30:00 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","4","3","4","5","","4","5","4","4","4","3","4","2","3","3","5","5","4","5","5",""
"2026/03/08 6:57:04 p. m. CET","23","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Éxitos deportivos del club","5","4","5","5","5","5","4","3","3","3","3","3","3","3","2","5","5","5","5","4",""
"2026/03/08 9:16:48 p. m. CET","54","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","5","3","5","4","5","4","4","3","2","3","2","3","2","3","3","5","5","4","4","4",""
"2026/03/08 10:53:31 p. m. CET","27","Hombre","Estudios de posgrado","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Tradición familiar","5","4","5","5","5","5","5","2","3","3","3","4","3","4","3","5","5","3","5","5",""
"2026/03/08 11:20:10 p. m. CET","56","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","5","4","5","5","4","4","4","3","1","2","1","2","1","3","3","5","5","5","4","4",""
"2026/03/09 8:28:44 a. m. CET","56","Mujer","Educación secundaria","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","4","2","2","2","2","2","4","4","4","3","3","2","2","3","2","4","3","4","3","4",""
"2026/03/09 10:06:39 a. m. CET","24","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","2","2","2","2","2","3","1","2","1","2","1","1","1","1","1","3","2","4","2","2",""
"2026/03/09 10:53:09 a. m. CET","24","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Entre 11 y 20 años","Vinculación geográfica (ciudad o región)","5","5","5","5","5","5","4","2","3","3","4","3","4","5","4","5","5","5","5","4",""
"2026/03/09 11:46:00 a. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","3","4","4","","4","5","4","5","","4","5","3","3","3","5","4","5","5","5",""
"2026/03/09 11:51:59 a. m. CET","19","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Entre 5 y 10 años","Éxitos deportivos del club","4","4","5","5","4","4","4","3","3","4","3","3","4","4","3","5","5","5","5","5",""
"2026/03/09 12:24:16 p. m. CET","26","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","5","4","4","4","5","5","1","1","1","1","1","1","1","1","5","","5","5","4",""
"2026/03/09 2:32:48 p. m. CET","24","Hombre","Estudios de posgrado","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","5","4","5","5","4","5","5","4","3","2","2","5","2","3","4","5","5","5","5","5",""
"2026/03/09 2:33:33 p. m. CET","27","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","2","3","2","2","1","5","5","2","3","2","3","3","3","3","3","4","4","3","5","5",""
"2026/03/09 2:50:53 p. m. CET","18","Mujer","Formación profesional","Ni socio/a ni simpatizante de ningún club","Ocasionalmente","Menos de 5 años","Tradición familiar","1","1","2","1","1","1","2","1","1","1","1","2","2","2","3","4","5","2","4","2",""
"2026/03/09 4:33:20 p. m. CET","19","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Tradición familiar","1","1","2","2","1","2","1","2","1","1","1","","2","1","3","4","5","5","4","4",""
"2026/03/09 4:55:47 p. m. CET","51","Mujer","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","2","1","2","1","1","2","1","2","2","2","2","2","2","2","2","4","4","3","4","4",""
"2026/03/09 6:05:11 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","4","4","5","3","5","5","5","3","4","5","3","3","2","5","5","5","5","","4","5",""
"2026/03/09 6:37:17 p. m. CET","27","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Entre 5 y 10 años","Tradición familiar","5","2","2","2","2","3","1","4","4","2","2","3","3","3","3","2","5","2","3","3",""
"2026/03/09 6:53:52 p. m. CET","46","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","4","5","4","5","5","5","3","4","3","4","4","4","4","3","5","5","5","5","5",""
"2026/03/09 7:46:40 p. m. CET","53","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5",""
"2026/03/09 9:01:33 p. m. CET","35","Hombre","Educación secundaria","No socio/a, pero simpatizante","Ocasionalmente","Más de 20 años","Tradición familiar","2","1","4","2","2","2","2","2","2","2","3","2","2","3","3","4","4","2","2","2",""
"2026/03/09 9:22:41 p. m. CET","26","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","3","4","3","3","4","3","5","1","2","2","2","2","2","2","1","5","4","2","5","5",""
"2026/03/09 9:27:39 p. m. CET","25","Hombre","Estudios universitarios","Socio/a o abonado/a","Siempre que juega","Más de 20 años","Vinculación geográfica (ciudad o región)","5","5","5","5","4","5","4","2","3","2","4","3","4","5","5","4","5","5","5","4",""
"2026/03/09 10:36:05 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","4","3","5","3","5","5","5","2","4","4","5","5","5","2","5","4","5","3","5","5",""
"2026/03/09 11:32:41 p. m. CET","35","Hombre","Formación profesional","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","4","5","5","4","5","4","2","2","3","3","2","4","3","3","5","5","5","5","4",""
"2026/03/10 8:15:02 a. m. CET","27","Mujer","Formación profesional","No socio/a, pero simpatizante","Ocasionalmente","Menos de 5 años","Influencia del entorno social (amigos, compañeros, etc.)","4","2","1","2","1","1","1","1","2","1","2","2","1","2","2","4","4","3","2","1",""
"2026/03/10 8:16:39 a. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","3","4","3","4","3","4","4","4","4","5","4","5","4","5","4","5","4","5","4",""
"2026/03/10 9:13:17 a. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","5","3","4","4","4","5","5","4","4","4","3","4","2","3","3","5","5","4","5","5",""
"2026/03/10 12:07:29 p. m. CET","53","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Tradición familiar","3","1","1","4","1","1","4","1","1","1","1","1","1","4","1","5","5","4","5","5",""
"2026/03/10 12:07:31 p. m. CET","25","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Más de 20 años","Identificación con los valores o la historia del club","4","3","5","3","5","5","4","3","4","5","5","5","4","5","2","5","5","4","5","5",""
"2026/03/10 12:53:38 p. m. CET","18","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Entre 5 y 10 años","Influencia del entorno social (amigos, compañeros, etc.)","4","4","4","4","4","4","5","3","3","3","3","3","3","3","3","5","5","5","5","5",""
"2026/03/10 1:40:26 p. m. CET","24","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","3","4","3","4","3","4","4","4","4","5","4","5","5","5","4","4","4","5","4",""
"2026/03/10 2:06:40 p. m. CET","55","Mujer","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","4","2","3","1","2","2","4","4","5","3","3","5","3","3","4","3","4","3","4","3",""
"2026/03/10 2:12:19 p. m. CET","50","Mujer","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Tradición familiar","2","1","2","2","1","1","2","2","1","1","2","2","1","1","1","5","4","5","5","5",""
"2026/03/10 2:39:42 p. m. CET","23","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Tradición familiar","5","5","5","5","5","5","5","1","3","3","2","4","2","4","3","5","5","5","5","5",""
"2026/03/10 2:59:01 p. m. CET","53","Hombre","Educación secundaria","No socio/a, pero simpatizante","Regularmente","Más de 20 años","Identificación con los valores o la historia del club","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5",""
"2026/03/10 3:12:05 p. m. CET","20","Hombre","Educación secundaria","No socio/a, pero simpatizante","Siempre que juega","Entre 11 y 20 años","Identificación con los valores o la historia del club","4","2","3","3","3","4","5","1","2","1","2","2","2","1","1","5","4","5","5","2",""
"2026/03/10 3:42:14 p. m. CET","254","Hombre","Estudios universitarios","No socio/a, pero simpatizante","Ocasionalmente","Entre 11 y 20 años","Influencia del entorno social (amigos, compañeros, etc.)","4","3","4","3","4","3","4","4","4","4","5","4","4","5","5","4","4","5","5","5",""
